caption,words,operands,distinct_symbols,unseen_symbols,max_type_arity,rank_of_image,rank_among_captions
a bride and groom couple cuts the wedding cake ,9,150,150,0,3,192,1357
A bride and groom cutting a wedding cake.,8,138,126,0,3,4,4
A woman smiles from behind the book she has been reading.,11,150,138,0,3,2,30
"A woman holding a book about the topic fun.

",9,198,174,0,5,16,75
a pretty lady with a red book smiling on a white bed,12,210,186,0,5,33,176
A woman that is holding a book sitting on a bed.,11,258,234,0,6,7,22
A woven basket with slices of pizza in it,9,150,150,0,3,505,1877
People are eating pizza and drinking soda at a table. ,10,210,210,0,6,3278,16009
SLICES OF PIZZA IN BASKETS ON A TABLE OUTSIDE,9,150,150,0,3,50,299
two plates of pizza and a drink on a wooden table,11,174,162,0,3,32,67
A couple of slices of pizza sitting on white paper. ,10,174,156,0,5,34,154
A dog rests on a bed in a bedroom where one person is also sitting.,15,258,234,0,5,35,534
A dog laying on a bed in a bedroom with wood floors.,12,198,174,0,5,54,463
a bed room with a dog in a neatly made bed,11,186,162,0,4,104,781
A dog is sitting on a neatly made bed while someone looks on. ,13,258,246,0,5,29,424
A dog sits on top of a bed in a room.,11,198,174,0,5,65,836
A person grabbing a slice of pizza from a pizza box.,11,174,150,0,4,218,1767
They are going to serve pizza for lunch today.,9,210,210,0,5,3774,11579
The hand of a person picking up the last two pieces of pizza.,13,210,198,0,4,1942,4483
A person is picking up a piece of pizza.,9,174,162,0,4,538,2175
A hand reaches out to grab a piece of pizza,10,198,186,0,4,3297,8917
A stack of different electronics devices on a table.,9,150,138,0,3,53,147
There are two electronic devices on top of the laptop.,10,162,162,0,3,339,2361
Recording devices and cellphones are stacked on a laptop.,9,174,174,0,5,226,1074
a laptop with some other electronics on top of it ,10,162,162,0,3,497,2064
a laptop and three cellphones on a yellow table,9,150,138,0,3,34,143
a tennis player who has just made a shot.,9,186,174,0,4,724,1491
A girl swinging a tennis racket in a match.,9,162,138,0,5,20,186
A tennis player swinging a racket at a public tennis match. ,11,174,138,0,4,14,35
A woman playing tennis with spectators behind her.,8,150,150,0,5,186,845
a woman swinging her tennis racket while playing tennis,9,174,174,0,6,87,530
A half eaten slice of pizza is on a plate with a knife and fork.,15,246,222,0,5,35,218
pizza with olives on black plate setting on table,9,150,150,0,3,168,842
A dining table with some very tasty looking pizza.,9,162,162,0,4,182,2271
A plate that has food on a table.,8,162,150,0,5,286,1051
Plates of Pizza with silverware next to ketchup and other condiments. ,11,186,186,0,4,55,134
A infant holding a baby toothbrush in his hand looking at it.,12,198,186,0,5,14,27
A small baby is holding a white and blue toothbrush.,10,198,186,0,6,36,50
A child holds a toothbrush in their hand.,8,150,138,0,5,20,65
The baby is holding and looking at his tooth brush.,10,198,198,0,6,8,3
A baby holds a toothbrush in its hand.,8,150,138,0,5,3,31
A girl is playing a game system while other kids look on.,12,222,210,0,5,140,294
Group of children and adults playing a video game.,9,150,150,0,3,1,66
Several children watch while a girl in a pink sweatshirt plays with a Wii remote while another person with a little girl on their lap snuggle in a chair in the background.,32,474,390,0,5,12,168
A group of people are playing wii in the living room,11,198,198,0,5,50,302
The girl in a pink sweater is playing a video game.,11,186,174,0,4,81,280
"A living area with a red couch, mirror, window and painting.",11,174,162,0,3,44,70
a living room with a large door way and a chair,11,174,150,0,3,65,205
A pastel green room with pictures mounted on the wall and a red chair near a large window.,18,270,246,0,5,159,416
A chair by a window in a living room,9,150,126,0,3,164,529
A lime green room with older style furnishings and curtains.,10,174,174,0,4,35,130
A couple of men in front of a television with a remote.,12,186,144,0,3,0,10
Two men playing a video game in the house. ,9,162,162,0,5,542,1108
Two men using nintendo wii remotes to play a game ,10,186,186,0,5,13,88
Two men playing with a video game system.,8,150,150,0,5,50,126
Two men standing in room playing a game with Nintendo Wii controllers.,12,198,198,0,5,40,327
Girl trying out a game at a trade show.,9,174,162,0,5,1180,7108
People standing around a waiting room with a flat screen TV.,11,186,174,0,5,48,380
Trade show visitors and workers in a vendor booth.,9,150,150,0,3,1059,3403
A group of people wait in a red reception area.,10,174,162,0,5,140,1414
A small group of people standing in a red and white room ,12,222,210,0,6,20,85
A living room with a fire place and furniture.,9,150,138,0,3,13,25
THERE IS A FIRE BURNING IN THE FIREPLACE IN A SITTING ROOM,12,210,198,0,5,140,897
A room with two sofas and a fireplace. ,8,138,126,0,3,17,90
A view of a fire place with a light on it.,11,174,150,0,3,140,589
a comfortable living room with brown leather couches and a fireplace,11,174,162,0,3,21,54
People are having fun on a crowded beach.,8,162,162,0,5,13,70
A large amount of people laying out on a beach,10,186,174,0,5,8,28
People at the beach enjoying the day and surfing,9,150,138,0,3,14,58
A beach filled with a crowd of people playing and laying on the sand.,14,246,234,0,6,21,155
A sunny day at the beach with a lot of people.,11,174,162,0,3,349,1458
Young boy posing in front of a flying kite in the park,12,210,210,0,5,30,100
A little boy standing in the grass with a kite in the sky in the background.,16,258,204,0,5,1,27
A young boy is posing in a large grassy area.,10,186,174,0,5,76,150
A little boy standing in a field below a kite.,10,174,150,0,5,5,22
A BOY IS OUT ON THE PARK FLYING A KITE,10,186,174,0,5,32,120
A close-up of a misshapen piece of pizza and a can of soda.,13,198,156,0,3,634,1876
A beef pizza with mountain and water on a bench,10,162,150,0,3,871,3094
There is a very large pizza with different toppings on it,11,186,186,0,4,1608,4568
An oddly shaped pizza resting on a picnic table near several beverages.,12,222,222,0,5,252,1076
Gourmet food on a picnic table with drinks,8,138,138,0,3,626,1928
A beautiful young woman swinging a tennis racquet on a tennis court.,12,198,162,0,5,19,95
A tennis player taking a swing at  a ball,9,150,126,0,3,16,29
A woman hitting a tennis ball with a tennis racket,10,174,138,0,5,14,164
a woman on a tennis court getting ready to serve the ball,12,222,210,0,4,17,170
an image of a girl getting ready to serve on the tennis court,13,258,258,0,5,12,167
An old person is holding a tennis racket. ,8,150,150,0,4,100,55
A man holding a tennis racquet in the yard ,9,150,138,0,3,809,2998
a man standing in the grass holding a tennis rackett,10,174,162,0,5,98,46
A man in a defensive stance holding a racquet.,9,150,126,0,3,148,393
A long-haired man standing outside holding a racquet with both hands.,11,198,186,0,5,148,456
A pizza sitting on top of a white plate next to a glass of beer.,15,234,192,0,5,23,48
A whole pizza on a white plate on a table.,10,162,138,0,3,26,155
A marble table with white plate holding a pizza.,9,150,138,0,3,267,2304
A table is set with pizza and beer and a salad.,11,186,156,0,4,585,1981
A beer sits untouched on a table with other food,10,186,174,0,5,230,355
A crowd of people sitting down next to each other.,10,186,186,0,5,651,2013
People using electronic devises all facing in the same direction.,10,186,186,0,5,2130,9594
People are sitting in chairs on phones and computers.,9,186,186,0,5,36,450
Everyone in the group is using electronic devices.,8,150,150,0,4,66,1253
There are a group of people sitting in chairs using electronics,11,186,186,0,5,1008,3050
A teddy bear sitting in front of a pile of boxes.,11,186,156,0,5,72,133
a big teddy bear sitting next to some boxes,9,162,162,0,5,84,186
a teddy bear next to four boxes on the floor,10,162,162,0,3,448,992
A teddy bear is sitting in front a group of boxes.,11,198,186,0,5,31,44
A teddy bear sitting on the ground in front of many boxes.,12,210,210,0,5,63,101
A teddy bear sitting on a blue chair.,8,150,138,0,5,20,39
a tan teddy bear wearing a bow tie sitting on a bed,12,198,174,0,5,102,318
A beige teddy bear is sitting on a chair.,9,174,162,0,5,2,21
A Teddy bear sits on a floral patterned chair.,9,162,150,0,5,26,57
a tan colored teddy bear sits on a crochet covered chair.,11,198,186,0,5,17,49
a man and woman standing side by side in a kitchen next to a window,15,294,270,0,8,5,11
A man and a woman are posing for a picture in a kitchen.,13,222,186,0,5,2,7
"A man, his arm across the woman next to him, stands in a blandly colored kitchen area,  in front of a black-rimmed  window, next to a counter with a microwave, plates, with and without food, and wine bottles.  ",38,570,474,0,9,411,956
there is a man and a woman posing in a kitchen,11,186,162,0,5,3264,11659
A man and a woman stand next to each other in a kitchen.,13,222,198,0,5,14,14
A church steeple that has a clock on it,9,162,150,0,4,43,348
There is a tower clock that is in the middle of the city,13,210,198,0,4,60,232
Clock tower on top of a building outside on a sunny day.,12,186,174,0,3,295,1838
Looking up at a clock tower with a weather vane,10,174,162,0,3,11,132
A building top with a clock on it.,8,138,126,0,3,3,51
A woman taking pictures on a busy street.,8,150,138,0,5,53,234
A woman taking a picture on a sunny day. ,9,162,138,0,5,249,1658
A male and a female holding up their cellphones,9,162,150,0,4,14,20
A woman taking a picture up at the sky with her phone.,12,210,198,0,5,103,276
A woman holding a camera is taking a picture.,9,162,138,0,4,31,47
A woman walking down a street talking on a cell phone.,11,198,174,0,5,14,110
A woman on her cellphone standing on the sidewalk in a city. ,12,210,198,0,5,96,752
A girl is standing by a storefront while talking on her phone.,12,246,234,0,6,1,2
A women looking over at something while talking on the phone .,12,222,222,0,6,88,575
a woman standing on a sidewalk while using a cell phone ,11,210,186,0,6,12,101
the portable device is displaying a very important message.,9,174,174,0,4,261,551
A person holding an older model of a smart phone.,10,162,150,0,3,249,555
A person holding a smart device in their left  hand.,10,174,162,0,5,164,303
A person holding a cell phone showing a text.,9,150,126,0,3,142,234
A PERSON HOLDING A BLACKBERRY CELL PHONE IN THEIR HAND ,10,174,162,0,5,389,1041
A white refrigerator freezer sitting inside of a kitchen.,9,162,150,0,5,9,21
A corner of a kitchen with a big fridge.,9,150,126,0,3,5,18
A kitchen has a plain white fridge in the corner. ,10,174,162,0,5,1208,5450
A refrigerator in the corner of a kitchen just off the dining room ,13,210,186,0,4,16,60
a room showing a very big fridge and a dining table,11,186,162,0,4,133,763
A metallic refrigerator freezer in a kitchen next to a cabinet.,11,174,150,0,3,70,165
Side by Side stainless refrigerator in a kitchen.,8,150,150,0,4,220,1164
A large silver refrigerator with two doors and an ice dispenser.,11,174,174,0,3,67,310
A shiny metallic refrigerator in a brown colored kitchen.,9,150,138,0,3,104,384
"A two door, stainless steel refrigerator under a wine cabinet",10,174,162,0,4,20,67
"The kitchen is lit with overhead lights, shining on the cupboard and sink",13,234,222,0,5,28,710
A kitchen with white cabinets and brick walls.,8,138,138,0,3,28,18
"A small, white formica kitchen with a refrigerator, sink and small electrical appliances",13,198,174,0,3,70,711
The door of the refrigerator has several papers on it.,10,162,150,0,3,36,88
A kitchen illuminated by a track lighting unit. ,8,150,138,0,5,156,1620
The meal consists of chopped chicken with cheese and brocolli.,10,162,162,0,3,36,64
A styrofoam plate with shredded chicken and a dish of broccoli with cheese sauce.,14,210,180,0,3,75,448
a close up of a plate of food on a carpeted floor,12,186,144,0,3,541,2433
A plate of shredded chicken with a broccoli cheese sauce.,10,162,150,0,3,4,81
A white plate topped wti chicken and a cup of guacamole.,11,174,162,0,3,426,1968
A very tall clock tower sitting next to a tall glass building.,12,210,186,0,5,100,426
A historical clock tower next to a modern glass window skyscraper. ,11,174,162,0,3,132,1200
A building with a clock that is in front of a building.,12,198,168,0,4,21,86
A clock tower stands in front of a large mirrored sky scraper. ,12,198,186,0,5,146,1780
A tall tower with a clock stands in front of a skyscraper.,12,198,174,0,5,86,366
there is a small glass vase that has purple flowers in it,12,210,210,0,5,30,394
A vase with purple iris's sitting next to a ceramic pitcher.,11,186,174,0,5,987,4717
A vase filled with purple flowers on to of a wooden table.,12,186,174,0,3,32,123
"Flowers sit in a vase, on a table, beside a watering container.",12,198,174,0,5,40,129
A vase full of irises with a pitcher on an end table,12,198,186,0,5,1678,10542
A white pitcher holding flowers in a window sill.,9,150,138,0,3,2204,12668
Some flowers are sitting in the white vase in front of the window. ,13,222,210,0,5,1,5
A vase with a handle has wild flowers in it.,10,174,162,0,5,24,150
A vase with a variety of flowers sitting in the window. ,11,186,174,0,5,38,383
A vase of flowers are sitting in a sunny window.,10,186,174,0,5,38,223
Large assortment of small and large vases displayed outdoors.,9,186,174,0,6,236,2636
A pile of clay and gold vases sitting in a yard.,11,186,174,0,5,440,2449
there are many vases on the ground in the street,10,162,150,0,3,68,247
There are many vases on display outside the building.,9,162,162,0,5,355,2317
A bunch of pottery sitting on a sidewalk ,8,150,138,0,5,435,2832
A carved bear that has a ribbon around the neck.,10,174,162,0,4,81,1135
A wood carved bear is sitting on a table.,9,186,174,0,5,126,594
a statue of  a bear wearing a red ribbon,9,150,126,0,3,56,1488
A teddy bear that appears to be made out of wood.,11,222,222,0,4,178,1114
The large bear is made up of clay.,8,162,162,0,4,91,2736
A white plate topped with a fried egg next to a salad.,12,186,162,0,3,0,16
A plate with a green salad and an egg,9,150,138,0,3,7,13
A plate with an assortment of food including an egg and salad,12,186,174,0,3,12,31
Picture of a plate with a fried egg and a salad.,11,174,150,0,3,894,2553
A plate of food with a fried egg and colorful vegetables.,11,174,162,0,3,17,19
A man riding a snowboard down a snow covered slope.,10,186,162,0,5,526,1887
A person riding a snowboard down a snowy slope.,9,162,138,0,5,289,1074
A man on skis is going down a slope.,9,174,162,0,5,505,1414
A person on a snowy slope on a snowboard.,9,150,126,0,3,789,1469
a couple skiers going down the snowy hill,8,150,150,0,5,1218,4970
Lights shine on a wooden dining room table.,8,150,150,0,5,1807,6248
A kitchen with a table and four chairs.,8,138,126,0,3,96,247
Partial picture of a kitchen and a table and chairs under a lamp.,13,198,156,0,3,229,734
"Small table and chairs set in a small kitchen.
",9,162,150,0,5,259,611
A wood paneled kitchen with dining table and tiled floor.,10,174,174,0,4,19,9
The reflection of a man taking  a picture in a mirror,11,174,150,0,3,24,506
A man takes his picture using the bathroom mirror.,9,162,162,0,5,67,1014
A man wearing a hat while standing in front of a bathroom mirror.,13,234,210,0,6,6,41
A man taking a picture of himself in a mirror.,10,174,150,0,5,9,57
A young man takes a picture of himself in the mirror.,11,186,174,0,5,11,55
A man wearing a bike helmet standing next to a bicycle.,11,186,162,0,5,29,174
A bicyclist stopping on the road to take a picture,10,198,186,0,6,198,1460
A young man in a helmet standing by a bicycle.,10,174,150,0,5,39,237
A person standing next to a bike on top of a road.,12,198,174,0,5,15,141
A person wearing a red biker shirt stands next to his bike.,12,198,186,0,5,15,122
there is a cat that is drinking out of the toilet,11,210,210,0,5,2354,5316
A cat is propped up on the toilet seat.,9,186,186,0,5,0,6
a cat is standing up to a white toilet,9,174,162,0,4,87,285
A cat pears into the bowl of a toilet.,9,162,150,0,5,3719,12816
A cat has its front paws on a toilet seat.,10,162,150,0,4,17,61
A bathroom sink and its reflection in the mirror.,9,150,150,0,3,192,881
Closeup of  bathroom sink with oral care devices and a coffee mug.,12,186,186,0,3,53,99
A sink with toiletry items setting on the edge.,9,162,162,0,5,2091,7848
A close up of a bathroom sink with a cup and toothbrushes.,12,186,162,0,3,802,2947
"A cup, toothbrushes, and other items sit on the side of a small sink.",14,222,210,0,5,90,398
"MAN ON A CONTRAPTION, SURROUNDED BY A BICYCLE AND ANOTHER PERSON",11,186,174,0,5,155,442
A man on a piece of equipment resembling a bicycle that has very large wheels.,15,246,222,0,4,230,1454
A man on a beech vehicle making his way thru the sand.,12,198,186,0,5,454,3592
a person riding a two thick wheeled bike on sand ,10,174,162,0,5,742,6733
A man standing on a vehicle with two large wheels.,10,174,162,0,5,62,239
A view of a bathroom with the shower curtain open.,10,162,150,0,3,397,1060
Small white bathroom with a black-and-white shower curtain. ,8,138,138,0,3,2,0
"A bathroom has a shower, sink, and toilet in it.",10,174,162,0,5,2304,6318
a tub and toilet in a small bathroom,8,138,126,0,3,18,192
"A residential bathroom with sink, tub, and toilet setting in it.",11,174,174,0,3,8,25
"Bathroom with sink, shower, towels, curtain, and more with window",10,210,210,0,6,20,317
A picture of a bathroom with a fern plant near the sink and a photo of a city above the toilet. ,21,294,216,0,3,19,68
"the mirror, sink and bathtub area of a white bathroom",10,162,162,0,3,81,327
Well decorated bathroom in a small yellow tinted area.,9,162,162,0,4,491,2075
"A bathroom with a sink, towel rack and shower stall.",10,162,150,0,3,69,198
A orange calico cat on top of a vehicle.,9,150,138,0,3,128,722
a close up of of a cat on top of a car,12,186,162,0,3,37,879
A calico cat is sitting on the roof of a car at night.,13,234,222,0,5,25,86
"An orange, black and white cat on top of a car.",11,174,174,0,3,84,358
A cat is on top of a car in the dark.,11,186,174,0,5,46,101
Suitcases on top of a carrier onto of a vehicle.,10,162,150,0,3,976,8934
A crate on top of a car holding various luggage.,10,162,150,0,3,104,1391
A luggage rack that has various pieces of luggage and containers on it.,13,222,222,0,5,187,1416
A collection of luggage that has been placed on a wooden carrier.,12,234,222,0,5,222,1524
A rack filled with lots of different bags of luggage.,10,162,144,0,3,203,1950
A car with a snowboard on it's ski rack parked in a foggy parking lot next to two cars with empty ski racks. ,23,342,288,0,5,247,1501
A couple of cars parked in a lot.,8,150,138,0,5,104,233
Small automobile parked on the side of a beach area.,10,174,174,0,5,21,1003
Two car facing opposite side to side in overcast day,10,294,270,0,12,57,394
Car with pedestrians parked in gravel lot near ski area.,10,174,174,0,5,30,532
Toilet with a black lid and rolls of toilet tissue in a bathroom,13,198,186,0,3,26,150
A bathroom with black and white toilet and a tiled floor.,11,198,186,0,6,76,153
A white toilet with a black colored seat.,8,150,138,0,4,159,700
A white toilet with a black seat on top of a tiled floor.,13,198,174,0,3,41,275
The lid is up on the toilet bowl.,8,162,150,0,5,370,1166
A black toilet in a tiled public bathroom stall.,9,150,138,0,3,114,170
A small tiled bethroom stall with a black toilet seat.,10,162,150,0,3,798,2994
A toilet bowl with a black toilet seat cover,9,150,126,0,3,147,245
The small bathroom has a toilet with a black seat.,10,162,150,0,3,114,233
A white toilet with a black seat sitting in a small stall.,12,198,174,0,5,5,36
a chicken meal with carrots broccoli and rice,8,138,138,0,3,27,115
A dinner plate that has white steamed rice with stir fry vegetables and chicken.,14,222,222,0,4,4,58
"A plate of vegetables, chicken, and white rice.",8,174,174,0,6,10,279
The food is prepared on the dish on the table. ,10,186,162,0,5,75,190
A plate of food and a drink on a table.,10,162,138,0,3,223,470
The view of a bathroom with a wall mounted sink.,10,162,150,0,3,132,923
A bathroom sink beside a toilet and blue trashcan.,9,150,138,0,3,24,225
Within a bathroom with a sink in the foreground.,9,150,138,0,3,1025,5774
"A bathroom has a sink, toilet, and trash can in it.  ",11,174,162,0,3,56,83
"A white sink in a small, tiled bathroom.",8,138,126,0,3,50,349
a close up of a dog near a bowl,9,150,126,0,3,0,42
A brown dog laying on the ground with a metal bowl in front of him.,15,246,234,0,5,0,11
The brown dog is laying near a silver dog bowl.,10,186,186,0,5,28,109
A dog is laying with its water dish in front of it.,12,210,210,0,5,0,0
A dog pants next to a bowl of water on the ground,12,198,186,0,5,3,27
The banana is laying next to an almost empty bowl.,10,198,198,0,5,15,63
a bowl of food next to a very close banana,10,174,162,0,4,20,453
A banana and a nearly empty bowl of food resting on top of a table.,15,246,204,0,5,11,65
A bowl with something in it with a banana next to it,12,186,168,0,3,84,308
A bowl filled with leftover food sitting next to a banana.,11,186,174,0,5,10,349
A room that has two televisions in it.,8,162,162,0,5,50,118
A living room with two televisions decorated for the holiday.,10,174,174,0,5,32,170
A tv on a tv stand in a room at Christmas time ,12,186,162,0,3,37,468
A flat screen television next to an older tube television.,10,162,156,0,3,15,149
An old TV and a flat screen TV on a homemade entertainment center.,13,198,180,0,3,8,31
An airplane leaving a trail in the sky.,8,150,150,0,5,26,57
A plane flying straight up and high in the sky leaves a tail of smoke.,15,342,330,0,12,40,148
An airplane leaves a contrail in the air.,8,138,138,0,3,27,306
A plane accelerating through the sky leaving a tail. ,9,162,150,0,5,75,410
A plane flying in the sky with a trail of white smoke behind it.,14,234,222,0,5,7,21
some planes on an air port run way,8,150,150,0,4,3,20
A large jet airplane sitting on a tarmac at an airport.,11,186,174,0,5,1,7
An airplane parked at the runway is being serviced by workers.,11,222,222,0,5,6,108
"An airplane being prepped for flight, as another plane passes by.",11,210,210,0,5,524,675
An airplane is at an airport with yellow hoses by it.,11,186,174,0,5,816,1755
Giraffes in their wood and grass zoo enclosure,8,138,138,0,3,55,293
A large giraffe looks at a smaller giraffe looking over a fence.,12,186,156,0,3,424,3426
"Two giraffe stand in an enclosure, on giraffe leans over the wall.",12,210,210,0,5,412,4007
"Pair of giraffes exploring a large, airy zoo enclosure.",9,150,150,0,3,52,736
Two giraffes in a zoo enjoy a walk and a snack,11,174,150,0,3,155,1169
An older man is sitting on the bus above a movie advertisement.,12,222,222,0,5,49,208
A man looking out the window of a bus,9,162,150,0,5,177,701
A man sitting in a bus staring out the window.,10,174,162,0,5,124,369
A man sitting on top of a bus over a billboard.,11,198,174,0,5,420,1608
THERE IS A MAN THAT IS LOOKING OUT OF THE WINDOW ,11,210,210,0,5,424,2138
A small sheep is standing under a wooden fence post.,10,186,174,0,5,7,67
A sheep rubbing its back under a fence post.,9,162,150,0,5,7,33
A sheep standing on the grass in front of a fence,11,186,174,0,5,9,70
A sheep that is standing under a wooden plank from a fence.,12,222,198,0,5,5,22
A sheep with short hair stands under a fence.,9,162,150,0,5,2,7
Outdoor show with sheep prominent on grass field.,8,138,138,0,3,731,3548
a couple of people that are walking in some grass,10,198,198,0,5,323,916
A sheep running through the field of an event.,9,162,162,0,5,2405,13669
A sheep is walking along a wide field.,8,162,150,0,5,2697,16817
A sheep is on a field of grass with two men walking around it.,14,246,234,0,7,2184,14293
A group of sheep in a grassy area with trees in the back ground.,14,210,198,0,3,17,39
A herd of sheep walking across a lush green field.,10,174,162,0,5,3,15
A lot of sheep all in on grassy area.,9,162,162,0,4,28,68
Flock of white woolen sheep standing in grassy area.,9,162,162,0,5,12,23
There is a group of sheep grazing on the grass in the field. ,13,222,210,0,5,339,1385
"A goat alongside a house, trying to go through the bushes",11,210,198,0,5,15,526
A sheep standing up against the side of a house covered in grass.,13,210,198,0,4,1518,7441
A goat stands on its high legs and leans against a grassy bank.,13,246,234,0,6,284,1260
A goat leans propped against a grassy surface.,8,162,150,0,5,1677,5663
A WHITE GOAT CLIMBING UP TO EAT SOME GRASS,9,186,186,0,6,170,592
A group of animals grazing on a lush green field.,10,174,162,0,5,46,53
A group of sheep standing on a mountain side.,9,162,150,0,5,35,82
Several lamp are seen at the top of a treeless hill.,11,198,198,0,5,3332,13286
Sheep grazing in grass in the mountains ,7,138,138,0,5,10,19
a herd of sheep standing on top of a hill,10,174,144,0,5,34,72
A group of people kneeling down beside some sheep.,9,174,174,0,5,504,4501
Two women are squatting down and petting brown and white long haired goats. ,13,270,270,0,6,180,922
Two women have stopped to pet the sheep.,8,174,174,0,6,295,1244
Two women are watching some goats get tie down.,9,198,198,0,5,116,1036
Two women petting a few goats at a petting zoo,10,174,162,0,5,23,55
A green street sign on a pole in front of a tall building.,13,198,174,0,3,5,7
A city street sign mounted on a black pole near a high rise building.,14,222,198,0,5,4,27
this is a street sign for W. Centre st.,9,150,150,0,3,155,529
A street sign in front of a skyscraper,8,138,126,0,3,3,1
A green street sign handing from a black pole with a building in the background,15,234,210,0,5,154,451
A man prepares to cross the street at a crosswalk,10,198,186,0,5,89,1341
View of a street corner with people waiting at the corner.,11,186,180,0,5,155,1255
Couple of people standing at an intersection waiting to cross.,10,198,198,0,5,189,2279
Two signs with arrows and a man standing on the sidewalk.,11,186,186,0,5,195,2519
People are standing on the corner of a street.,9,174,174,0,5,79,660
a man wearing a top hat and a red tie ,10,162,138,0,3,1,10
A very sharp dressed man with a black top hat.,10,210,198,0,8,460,3417
A man with black hair and a top hat,9,150,138,0,3,4,38
A man with a top hat and a red tie.,10,162,138,0,3,3,23
A man wearing a top hate with a red tie and black shirt.,13,198,174,0,3,12,119
A street sign with six different locations on it.,9,150,150,0,3,20,202
Street markers pointing to different locations in front of a few stores.,12,186,186,0,3,34,279
A street sign sitting on the side of a road.,10,174,162,0,5,153,851
Street signs going in every direction in front of a yellow building.,12,198,198,0,5,21,211
Number of street signs in front of a big building.,10,162,144,0,3,7,13
A stop sign is mounted upside-down on it's post. ,9,186,186,0,5,3,118
A stop sign that is hanging upside down.,8,186,186,0,4,84,2229
An upside down stop sign by the road.,8,150,150,0,4,94,266
a stop sign put upside down on a metal pole ,10,198,186,0,5,669,4151
A stop sign installed upside down on a street corner,10,222,210,0,8,72,445
a wall with a bunch of graffiti on it,9,150,138,0,3,312,1305
A graffiti covered wall and parking meter are seen in this image.,12,222,222,0,5,675,2892
A parking meter has graffiti on it near a graffiti wall.,11,198,186,0,5,388,1340
A parking meter and wall that has graffiti on it.,10,186,186,0,5,393,1380
a coin meter that has paint all over it,9,174,174,0,4,58,609
An hand pets a cat in a suitcase.  ,8,138,126,0,3,1046,6384
a black puppy playing with a hand as it stands in a black suitcase,14,234,198,0,5,695,4296
The person has a bag and some magazines laying on the table.,12,198,186,0,5,1432,4489
a man pets a cat over a bag ,8,150,126,0,5,31,257
A person's hand is wrapped around the head of a puppy.,11,186,174,0,4,1441,5943
A herd of cows laying on dry grass.,8,150,150,0,5,250,893
An indoor farm area with cows in individual stations sitting and standing on hay.,14,246,246,0,6,403,900
Many cows are being housed in milking stations.,8,174,174,0,5,187,814
The cows are laying in their stalls in the barn.,10,186,174,0,5,10,309
Cows resting in fresh straw bays at a rodeo,9,174,174,0,5,288,1022
A cat sitting in front of a large computer monitor.,10,174,162,0,5,59,335
A kitten is trying to interact with a kitten that is on television.,13,246,228,0,4,443,4225
A cat curiously looks at a photo of a cat on a computer screen,14,222,180,0,4,30,808
A cat looking at another cat on the television.,9,162,156,0,5,5,127
A cat sitting in front of a monitor that is displaying a picture of another cat.,16,270,222,0,5,43,152
A cat curiously looking sideways at a television.,8,162,150,0,4,52,561
A cat that is looking at a television screen.,9,174,162,0,4,1,20
A little cat is sitting on the table and watching TV.,11,222,222,0,6,29,119
A large black and beige cat stands near a television.,10,174,162,0,5,10,88
A cat sits in front of a TV and watches.,10,198,186,0,6,1185,5514
Cattle lie in the grass to chew their cud.,9,186,186,0,6,28,152
Several cows lying down in  a field of grass,9,174,174,0,5,1,30
Brown cows laying down in a field of grass. ,9,174,174,0,5,5,33
A heard of cows with yellow tags on their ears in a field of grass.,15,222,192,0,3,0,16
a herd of cows lay down on some grass ,9,174,174,0,5,0,17
A beach with two boats and a tractor.,8,138,126,0,3,62,341
A tractor and two boats beside the water.,8,138,138,0,3,21,84
Large running mower sitting next to two boats on a ocean side.,12,198,198,0,5,128,755
There is a tractor next to some boats on the beach,11,174,174,0,3,341,751
Black and white photograph of a tractor on beach next to boats.,12,210,210,0,6,335,1013
A black goat with its mouth open next to a white goat. ,12,186,168,0,3,602,2954
A black and a white sheep inside of a fenced area.,11,210,198,0,6,1,6
a black sheep and others in a corral together,9,150,138,0,3,160,647
A sheep with its mouth open in a pen.,9,150,138,0,3,3,14
A small cow in a enclosure with straw on the floor. ,11,174,162,0,3,19,50
The couple are dressed up and posing for photos.,9,246,246,0,12,18,45
some people standing in a room in formal wear,9,174,174,0,5,78,169
A man and a women standing next to each other.,10,174,162,0,5,183,537
A couple is dressed in black and the male has a drink.,12,198,186,0,4,191,1264
A man standing next to a woman in a gray dress.,11,186,162,0,5,1495,6205
a boat is sitting next to a dock,8,162,150,0,5,122,298
a vintage photo of a boat parked next to a peer ,11,186,162,0,5,251,855
This boat has docked next to a wooden pier,9,174,174,0,5,10,12
"The antique card shows the ship in the bay,",9,150,126,0,3,206,1131
an old photo of a boat parked next to the dock ,11,186,186,0,5,181,556
A group of people riding a large gray elephant.,9,150,138,0,3,3,6
Two men and a woman riding on the back of an elephant.,12,198,198,0,5,4,2
THERE ARE PEOPLE RIDING ON AN ELEPHANT BACK,8,162,162,0,5,2176,5415
Three people ride on an elephant in front of a forest. ,11,198,198,0,5,224,1182
Three people ride on the back of an elephant,9,162,162,0,5,26,158
A woman standing next to a herd of animals.,9,162,150,0,5,85,653
a woman holding an umbrella at the park,8,138,138,0,3,309,1117
A woman standing in the rain with an umbrella with a herd of deer behind her.,16,270,258,0,5,50,373
On a rainy day at the zoo umbrellas are frequently seen.,11,198,198,0,4,903,4364
Several people holding umbrellas and standing next to deer.,9,186,186,0,6,113,220
