caption,words,operands,distinct_symbols,unseen_symbols,max_type_arity,rank_of_image,rank_among_captions
A church with a stain glassed window of the virgin mary.,11,900,828,0,4,6,7
A golden cross ornament sits in the middle of an empty church.,12,972,972,0,5,1571,7243
A golden obelisk stands in the middle of an ornate building. ,11,900,900,0,5,603,3213
"a huge room with desks and places to sit
",9,756,756,0,4,165,425
The inside view of a large decorated church.,8,612,612,0,3,111,356
An elaborate church with tiled floors and stained glass.,9,684,684,0,3,6,77
A large chapel facing towards the alter with pews on either side and beautiful glass and marble adornments. ,18,1404,1404,0,5,0,0
A church with pews running along the sides with a clear center isle.,13,1044,972,0,5,94,1062
A room with black and white tiled flooring.,8,756,756,0,6,163,251
The large room has wooden counters with chairs behind them on both sides.,13,972,972,0,3,109,135
A man sitting on a bench with a tall building behind him.,12,972,828,0,5,14,14
A man sitting on a bench with a church behind him.,11,900,756,0,5,35,52
A man sits on a bench with a church in the background.,12,1044,900,0,5,25,37
a male in a white shirt is sitting on a bench and a building,14,1188,972,0,5,100,276
A man is on a bench in front of a steple tower.,12,900,756,0,3,26,42
A group of women operating a car wash.,8,612,540,0,3,180,829
Young women washing motor cycles in the middle of a street.,11,900,900,0,5,141,429
Two young women are washing two motorcycles with hoses..,9,828,756,0,5,59,347
Girls wash a motorcycle while men look on.,8,756,756,0,5,231,1375
A group of people standing near the motorcycles on the street. ,11,900,828,0,5,52,164
A man drives a motorcycle down a road in the fog.,11,972,828,0,5,113,364
A man riding a motorcycle through the rain.,8,684,612,0,5,23,64
a person that is on a motorcycle in the dark,10,900,828,0,5,670,3182
We are looking at a motorcycle riding through the fox.,10,900,900,0,5,3115,13136
a person riding a motorcycle on a a foggy road ,10,828,612,0,5,6,61
A man standing in front of a fruit stand containing several bunches of bananas.,14,1116,936,0,5,195,673
A man looks at a cart full of bananas.,9,756,684,0,5,187,740
A photograph where the only color is coming from the bananas on a stand.,14,1188,1044,0,5,621,2898
Bananas being sold and a man looking at them.,9,756,756,0,4,99,805
A man with graying hair looks down at a stand full of yellow bananas.,14,1188,1116,0,5,174,539
A small wheeled airplane on an open runway.,8,612,612,0,3,1562,7095
A small airplane is about to take off on the runway.,11,1188,1188,0,5,0,12
"A small, single person aircraft sits on the runway.",9,756,756,0,5,4,143
A black plane taking off from an airport runway.,9,828,828,0,5,4,69
A grey and black plane on a runway with trees in the background.,13,1116,1044,0,6,14,78
Two planes are close together in the sky.,8,828,828,0,5,14,157
Two planes fly in the air near each other.,9,828,828,0,5,22,103
Two airplanes having a close call in the sky.,9,684,684,0,3,17,181
A pro plane and a jet play flying close to each other in the sky.,15,1332,1260,0,7,30,208
Two large airplanes flying through a blue sky.,8,684,684,0,5,14,85
A large jetliner flying over a dry grass field.,9,756,684,0,5,19,79
A commercial airplane above a dirt trail and crowd of people.,11,828,756,0,3,11,132
A low flying airplane over a parked silver van. ,9,684,612,0,3,86,483
A playing flying over a van with multiple people around it.,11,900,828,0,5,1589,4902
The landing airplane comes in very close to the vehicle in the road.,13,1332,1188,0,8,232,606
The giraffe is standing in the shade of the tree.,10,900,756,0,5,22,39
A giraffe stares into the camera while standing on green grass in front of a shade tree.,17,1548,1476,0,6,14,34
A giraffe stands underneath a tree on grass.,8,756,684,0,5,22,99
A small giraffe stands in the grass near a road.,10,900,828,0,5,65,307
A giraffe stands under a tree in a grassy place.,10,900,756,0,5,11,4
A couple of giraffe standing in a building.,8,684,612,0,5,11,38
Two giraffes look over a railing blockade. ,7,612,612,0,5,89,230
A couple of giraffe standing next to each other.,9,756,756,0,5,27,42
Two giraffes have a big log in their enclosure.,9,756,756,0,5,53,86
A large and small giraffe are looking at something while standing next to a log.,15,1548,1476,0,6,29,34
A bird sitting on top of a park bench.,9,756,684,0,5,7,4
The wooden park benches are painted dark purple.,8,828,828,0,4,246,711
A small bird sitting on the back of a wooden bench.,11,900,828,0,5,7,6
a bench with a couple of purple benches,8,612,540,0,3,118,339
Some purple benches and a bird on it.,8,612,612,0,3,123,309
"A street light that shows, horse crossing on it.",9,828,828,0,5,74,530
"A traffic signal at an intersection depicting ""horse crossing"".",9,684,684,0,3,66,612
A pole with stop lights and a horse walking sign.,10,756,684,0,3,69,144
Street sign in the shape of a person riding a horse with a person under. ,15,1188,1008,0,5,713,4728
The light shows safe for animal crossing on the street.,10,828,756,0,4,63,835
Four smaller dogs are running away from the women on the bench. ,12,1116,1044,0,5,111,495
A group of dogs running across a lush green field.,10,828,756,0,5,2,6
a number of dogs running in a field with people on a bench,13,1044,900,0,5,26,156
A group of dogs that are standing in the grass.,10,972,972,0,5,4,3
A bunch of dogs running around in a field ,9,828,756,0,5,2,11
a metal bench resting on a sidewalk with cars on a street in the background,15,1188,1044,0,5,4,12
A park bench has a persons hat sitting on it.,10,900,828,0,5,52,406
A black metal bench with a had hanging on the back of it. ,13,1044,972,0,5,35,99
A bench on cement in a park ,7,540,468,0,3,44,378
Hat sits on empty park bench made of black iron,10,828,828,0,5,118,601
A woman and her child sitting nest to a man on a park bench.,14,1188,1044,0,5,21,182
a couple and their small baby girl are sitting on a bench,12,1044,972,0,5,2,7
A man and woman sit on benches with a small child.,11,972,900,0,5,16,91
A baby sitting between a lady and a man on a bench under a tree.,15,1260,972,0,5,478,5176
a couple sitting on a bench with a little girl,10,900,756,0,5,2,10
A green traffic light suspended above a street.,8,684,612,0,5,4,36
A double traffic signal shows three green lights.,8,612,612,0,3,89,1003
Two green lit traffic lights with a blue sky behind them.,11,900,900,0,4,282,2034
Green lights a shining bright against a cool blue sky.,10,756,756,0,3,723,3140
The traffic lights glow green in the night sky.,9,828,756,0,5,4,64
A man sitting on the park bench in the forest ,10,828,756,0,5,1,1
A man sitting on a bench in a forest area. ,10,900,756,0,5,1,21
A man sitting on a bench in a wood.,9,756,612,0,5,0,2
A man sits on a bench underneath trees.,8,684,612,0,5,2,11
A man sitting on a bench surrounded by trees. ,9,828,756,0,5,1,5
A very big city bus on a big street.,9,756,612,0,4,15,77
A large bus on the side of a street.,9,684,612,0,3,6,28
"Blue, white, and green passenger bus parked at a stop. ",10,828,828,0,5,25,289
a city bus parked on the side of the road,10,828,756,0,5,29,93
A white bus driving down a street next to a building.,11,972,828,0,5,29,103
a red park bench that is by some water,9,756,756,0,4,668,5462
Three people are sitting on a bench looking out at mountains and a lake.,14,1332,1260,0,6,50,90
A group of people sitting on a bench near a lake.,11,900,756,0,5,48,136
Three people sitting on a bench in front of a lake. ,11,900,828,0,5,23,39
Three persons seated on a bench near a pool of water,11,972,900,0,5,5,10
A red bench on a slanted floor has the Coca-Cola symbol on it.,13,1044,972,0,5,12,105
A very cute small red bench by some tall stools.,10,828,828,0,4,15,78
"What appears to be a beach-side eatery has an outdoor area with a metal railing and high stools, the whole of which rests on a tilted walkway with a sign and  a bench with a logo on it. ",38,3276,2592,0,6,663,24905
A sidewalk scene with focus on a red bench.,9,684,612,0,3,26,102
A red bench that is sitting on a sidewalk.,9,900,828,0,5,44,178
A city bus is parked on the curb waiting for people,11,1044,1044,0,5,28,130
a white bus is sitting by a curb,8,756,684,0,5,19,127
theres a number 41 bus with a green stripe on it ,11,756,684,0,5,16,63
A bus sitting on the side of the road.,9,900,828,0,4,17,548
A bus going to crosstown parked on side of road.,10,900,900,0,5,138,417
A bus that is on the side of the road.,10,828,756,0,4,61,36
A front shot of a Crosstown bus is parked on the side of the road. ,15,1260,1008,0,5,54,229
A bus parked to the side of an empty road.,10,828,828,0,5,65,43
A white bus with bicycle rack parked on the side of a street.,13,1044,972,0,5,65,100
A public transportation bus near a curb with a bicycle rack.,11,828,684,0,3,13,138
The #41 bus parked at the curb waiting for passengers to board,12,1188,1116,0,5,2529,13116
A large bus parked by the curb ,7,612,612,0,5,12,28
A white bus that has a 41 Crosstown sign on the front.,12,972,900,0,4,8,232
A very big white bus parked by the curb.,9,828,828,0,5,11,27
A close up of the stop sign and to street signs.,11,972,972,0,6,1543,7917
a close up of a street sign with a sky background,11,828,684,0,3,24,142
The stop sign is at a four way intersection. ,9,684,684,0,3,16,33
A stop sign located at the intersection of East Village and Woodfield Rd.,13,1044,1044,0,5,28,212
A red stop sign with two green street signs on top of it.,13,972,972,0,3,19,232
Three giraffe's leaning over to get a sip of water.,10,972,972,0,4,7,13
an image of a herd of giraffes in the water,10,756,756,0,3,0,4
three giraffes banding down to drink water with trees in the background,12,1188,1188,0,6,18,17
Three giraffe drinking from a pond with brush in back.,10,828,828,0,5,36,28
Giraffes leaning down to drink at a watering hole,9,972,972,0,5,54,141
A rooster is walking on a grassy beach.,8,756,684,0,5,0,0
A brown chicken standing on top of a lush green field.,11,900,828,0,5,81,213
A rooster walking on a beach near the ocean.,9,756,684,0,5,4,1
A chicken walking around on the ocean shore.,8,756,756,0,5,12,44
Rooster walking outside on the sand dunes at the beach.,10,900,828,0,5,7,89
A flock of birds flying over the ocean next to a beach.,12,1044,972,0,5,1,3
A flock of seagulls flying over the water together.,9,828,828,0,5,1,10
A picture of some birds are flying around in the air.,11,1044,1044,0,5,2,20
Seagulls in flight and standing on a beach at sunset,10,1044,1044,0,6,1,23
An ocean view with dozens of birds in the sky.,10,756,756,0,3,435,1038
A man riding a brown horse in uniform next to tall green trees.,13,1044,972,0,5,48,321
A man in uniform riding a horse by a fence,10,828,684,0,5,3,12
an image of a man on top of a horse ,10,756,684,0,3,0,15
A man in uniform rides a horse down the street.,10,828,756,0,5,22,120
Person in red peacoat and hat riding a horse.,9,684,684,0,3,9,94
A man has a red water bottle up to his mouth.,11,900,828,0,5,76,501
A man puts a red bottle up to his mouth.,10,756,684,0,4,22,93
A man drinking something from a red bottle,8,612,540,0,4,71,458
A man drinking a beverage from a red bottle.,9,684,540,0,4,86,707
A man is drinking water from a red bottle.,9,756,684,0,4,159,1020
"The encompassing of an outside town in the picture.
",9,684,612,0,3,501,1140
"A flock of sheep crossing a road, blocking traffic.",9,684,612,0,3,177,800
A herd of sheep on the road and a car,10,756,684,0,3,1,5
A herd of sheep are blocking the road.,8,684,684,0,4,3,52
Herd of sheep standing on roadway in rural area.,9,828,828,0,5,1,4
A young man kissing the top of a young woman's head.,11,828,684,0,3,0,18
The young man is kissing the young woman on top of her head.,13,1116,972,0,5,43,285
A man kisses the top of a woman's head.,9,972,828,0,5,65,276
The man kisses the girl on the head as she laughs.,11,1044,900,0,5,69,549
Two adult pheasants walking slowly across a street,8,756,756,0,5,1718,7546
Two small birds walking on a sidewalk next to patches of grass.,12,972,972,0,5,4,92
A pair of birds crossing a street towards a grassy area.,11,900,756,0,5,61,411
Two birds walking down the road in the daytime.,9,828,756,0,5,29,224
Two game birds with red heads on the sidewalk.,9,684,684,0,3,4239,20863
A highway filled with lots of traffic nest to a traffic light.,12,972,900,0,5,1114,4646
A highway with a green exit sign and a yellow traffic sign. ,12,900,720,0,3,6,17
a green and white street sign some cars and buildings,10,900,900,0,6,70,180
A highway at dusk with cars traveling between cities.,9,756,756,0,5,4,29
There is a sign for an exit on a highway.,10,756,684,0,3,585,4015
A man sitting in front of a laptop computer in an office.,12,972,900,0,5,318,1103
Adults working on projects and computers in office environment.,9,756,756,0,5,0,6
a table with two laptops and chairs ,7,540,540,0,3,2613,12014
Man works on laptop as three others work on a project.,11,972,972,0,5,144,575
A man typing on a laptop keyboard in a cluttered work environment.,12,1044,900,0,5,528,1845
A close up of a stop sign with two hand written notes taped to it.,15,1188,1116,0,4,78,665
A stop sign that has some papers on it.,9,756,756,0,4,42,1292
A red stop sign with paper with writing on top of it.,12,900,900,0,3,71,1061
A stop sign with additional warnings taped to it.,9,684,684,0,3,809,4019
a stop sign with alot of  writing on it,9,684,684,0,3,48,260
A red and black boat floating on top of water.,10,972,972,0,6,19,30
A red boat floating in front of a city scape.,10,828,756,0,5,8,23
a big boat on a river with a cityscape in the background ,12,900,756,0,3,12,38
A boat that is sitting in the water.,8,828,828,0,5,23,28
There is a large ship in the middle of the ocean. ,11,828,756,0,3,14,20
A train traveling down tracks net to a  bridge.,9,828,756,0,5,30,197
A train going down the train track. ,7,612,612,0,5,42,102
A freight train running along tracks beneath a bridge.,9,756,684,0,5,45,317
A red and black train on the train tracks.,9,828,828,0,6,16,14
A red and black BNSF train travels along it's tracks.,10,972,972,0,6,1813,5382
A silver and gray parking meter sitting by a tree.,10,972,900,0,6,28,271
A sign stating tree trimming is on a tree by a parking meter.,13,1044,900,0,5,110,642
Parketing meter next to a tree with a warning sign on it. ,12,900,828,0,3,293,1566
There's a warning not to park under this tree.,9,828,612,0,3,400,1875
A cow grazing on the grass on the side of a side walk.,13,1116,972,0,5,0,0
A brown and white cow standing in front of an iron fence.,12,1116,1116,0,6,0,5
"Why would the cow be grazing in front of those homes?
",11,1044,1044,0,5,4643,22229
A brown and white cow grazing in yard next to street.,11,1116,1116,0,6,1,2
A big brown cow walking down a sidewalk near homes.,10,900,828,0,5,3,73
The child smiles brightly while being handed a pink umbrella. ,10,1044,1044,0,6,30,118
A little girl that is standing under an umbrella.,9,900,900,0,5,63,488
A little girl smiling for the camera with an umbrella behind her.,12,972,972,0,5,1,1
A smiling child stands under a pink and red umbrella.,10,972,900,0,6,31,148
A child with a backpack underneath an umbrella.,8,612,540,0,3,39,366
A herd of elephants walking into a large body of water.,11,900,720,0,5,10,94
a bunch of elephants are standing by a body of water,11,972,792,0,5,7,17
a herd of elephants standing in a water hole with a crowd of people watching ,15,1332,1080,0,7,6,12
some people watching a large group of elephants walking into the world ,12,972,972,0,5,4,203
A herd of elephants  being herded into a river while tourists take photos.,13,1188,1116,0,5,5,21
a man is standing at the back of a boat,10,900,828,0,5,54,250
there are two men in an odd looking boat ,9,684,684,0,3,30,163
Man at top of boat with another person standing by end holding a long stick,15,1188,1188,0,5,303,1052
A man standing on the back end of a very long boat.,12,1044,972,0,5,89,290
People and their stuff on a little boat in the ocean,11,828,828,0,3,126,572
A dog that is wearing a dog collar smiling,9,828,756,0,4,9,91
A black and brown dog is wearing a heavy metal collar.,11,1044,972,0,6,8,33
A medium sized dog is standing with some people.,9,900,900,0,5,20,109
A black and brown dog wearing a chain around it's neck.,11,972,900,0,6,3,10
A big dog next to a person's leg.,8,612,540,0,3,8,60
An umbrella and rain boots sitting on a rug in a corner. ,12,972,900,0,5,166,1557
An umbrella and rain boots in a corner ,8,612,612,0,3,215,945
"A view of a pair of boots sitting in a corner, with an umbrella.",14,1188,936,0,5,7,63
A pair of tall black boots and a closed red umbrella in the corner.,14,1044,972,0,3,8,81
A pair of black boots stand next to a red umbrella. ,11,900,828,0,5,31,125
People are walking in the rain holding umbrellas.,8,828,828,0,5,49,119
Several different opened umbrellas all located near each other.,9,828,828,0,5,49,439
Several plaid and red umbrellas opened on a dreary day.,10,828,828,0,5,10,107
Opened up umbrellas in different colors and patterns.,8,684,684,0,3,2236,16307
Several umbrellas in different styles can be seen with rain on them.,12,1116,1116,0,5,7,12
A woman sitting at a table in front of a pile of luggage,13,1044,792,0,5,331,1549
A huge pile of luggage sits by the door.,9,756,756,0,5,76,465
A pile of luggage in a room with two women nearby.,11,828,756,0,3,26,209
an image of a large number of suitcases in a pile,11,828,756,0,3,38,404
many backpacks and luggage bags piled up on top of each other,12,1044,1044,0,5,44,742
a man is walking his dog through the city,9,828,828,0,5,137,887
A man walks his dog down the sidewalk.,8,684,684,0,5,52,231
A man is walking a dog on a sidewalk.,9,828,684,0,5,15,73
A man walking his dog down a sidewalk.,8,684,612,0,5,18,86
A man walks a dog past rows of chairs outside a store.,12,972,828,0,5,12,214
A dog is reaching up to grab a Frisbee in his mouth.,12,1188,1116,0,4,6,13
A dog catching a purple Frisbee in it's mouth on a green grass covered field.,15,1404,1260,0,5,10,9
an image of a dog playing with a frisbee,9,684,612,0,3,3,12
A black and white dog catching a blue flying disc,10,900,828,0,6,12,37
A black and white dog jumping up catching a Frisbee.,10,1044,972,0,6,10,39
A dog hanging out of a back door window.,9,756,684,0,5,41,76
A dog is shown in a car rear view mirror.,10,900,828,0,5,3,3
A dog sticks his head out of a car window.,10,828,756,0,5,2,0
A dog looks out of the window as the car driver goes past a historic town.,16,1404,1260,0,5,60,118
a reflection of a dog looking out a window in a side view mirror ,14,1188,972,0,5,11,77
A zebra-print futon with red cushions in a student's room,10,756,684,0,3,227,1679
Reading materials are stowed above a zebra themed bed for relaxation.,11,1116,1116,0,5,149,777
A bedroom done in animal prints with red and black pillows.,11,1044,1044,0,6,46,578
The bedroom is is decorated in various zebra prints.,9,828,828,0,5,124,1269
a bedroom with a blanket and some pillows,8,612,540,0,3,41,116
A man gets air catching the Frisbee near the water.,10,900,828,0,7,1,15
Man in air catching frisbee at beach near ocean.,9,756,756,0,5,1,88
a man is playing with a green flying disk,9,828,756,0,5,171,786
A man in white shorts jumping in the air to catch a green Frisbee. ,14,1260,1188,0,6,30,251
A person jumps in the air and catches a Frisbee at the beach.,13,1260,1116,0,6,1,35
Two zebras graze on grass inside of an enclosure. ,9,828,828,0,5,16,60
Two zebras at the zoo eating some grass.,8,612,612,0,3,1,81
Two zebras grazing on the green grass in an enclosure.,10,828,828,0,5,1,15
A pair of zebras grazing on grass in a zoo.,10,900,828,0,5,3,46
A couple of zebras are grazing in a field,9,828,756,0,5,16,68
A horse with blinder and a colorful harness in the woods,11,828,756,0,3,11,39
A brown horse walking through a leaf covered forest.,9,756,684,0,5,10,11
A horse that is in the dirt by trees.,9,828,828,0,5,6,12
A bridled mule stands in front of trees and leaves. ,10,828,828,0,5,11,50
Horse with blinders on walking through wooded area,8,756,756,0,5,41,306
A man standing behind two brown horses on a dirt field.,11,972,900,0,5,13,15
A man holding horse reins connected to 2 horses on a dirt field.,13,1044,972,0,5,170,565
A man is using two horses to plow his land.,10,972,972,0,5,1334,11062
A black and white photo of a farmer standing next to horses.,12,1116,1044,0,6,2,9
Man using two very large horses to plow a field,10,972,972,0,5,73,261
A man is skiing in mid jump onto a ramp.,10,972,900,0,5,171,519
a man on skis fly through the sky ,8,684,684,0,5,329,1550
The skier is leaning forward while jumping through the air. ,10,1116,1044,0,6,247,444
The skier takes off down the steep hill,8,756,684,0,5,209,544
A man flying through he air while riding ,8,828,828,0,6,365,1384
Two adult men stands with a group of little league baseball players for a group photo,16,1332,1260,0,5,2,0
Two adults and children wearing baseball uniforms and hats.,9,684,576,0,3,24,67
A little league team wears orange shirts and black caps.,10,756,756,0,3,917,4656
A sport team is posing in a park.,8,756,684,0,5,1583,6789
A little league baseball team in orange uniforms posing for a group picture. ,13,972,900,0,3,432,2474
She is cross-country skiing for the exercise it provides for her.,11,756,684,0,4,455,2656
The woman using the skies is wearing all black.,9,828,828,0,5,0,1
a woman in skies is walking in the snow,9,756,756,0,5,7,16
A woman riding skis across snow covered ground.,8,1116,1116,0,5,29,228
Belgium waffle loaded with bananas topped with powdered sugar with syrup and more fruit as a garnish.,17,1260,1188,0,3,3594,16031
The waffle has banana slices and a strawberry in the middle.,11,828,756,0,3,5,35
Some bananas and strawberries on a large waffle,8,612,612,0,3,34,123
A plate with a big tasty looking waffle topped with fruit.,11,972,900,0,4,86,156
A plate of waffles with bananas and strawberries on top.,10,756,756,0,3,8,25
A frying pan filled with vegetables and apples.,8,612,612,0,3,11,24
"A roasting pan full with apples, carrots, potatoes, and meat",10,828,828,0,5,401,1549
Meat with vegetable and fruit displayed in roasting pan.,9,756,756,0,5,29,169
"A pan with carrots, apples, meat, and potatoes. ",8,612,612,0,3,32,341
Fruits and vegetables inside of a cooking pot.,8,612,612,0,3,93,752
A man is high in the air as he skateboards on the ramp.,13,1188,1116,0,5,272,975
A man flying through the air while riding a skateboard.,10,972,900,0,6,61,107
A LARGE GROUP OF PEOPLE WATCH AS A SKATER DOES HIS TRICKS,12,972,900,0,5,556,2142
A skateboarder doing a trick at a competition.,8,684,540,0,5,64,73
A person being photographed while on a skateboard. ,8,756,684,0,5,821,3116
"A table with sandwiches, chili, french fries, and a drink.",10,756,684,0,4,119,589
A variety of food on a table with a few drinks. ,11,828,684,0,3,179,637
A table with food and a drink on it ,9,684,612,0,3,180,501
"A table topped with a sandwich, chili beans and a container of fries.",13,1044,900,0,4,28,540
One person is eating chilli and a grilled cheese and the other is having a sandwich and fries.,18,1476,1152,0,4,269,1243
Three people in the snow trying to walk up the hill in skiis.,13,1260,1188,0,5,27,138
Three skiers climb up a snow covered hill.,8,756,756,0,5,6,111
Skiers on a ski slope; one laying on the ground.,10,828,828,0,5,305,1412
Three people are skiing on the snowy mountain.,8,756,756,0,5,0,3
Several people traveling up a hill wearing snow gear. ,9,756,756,0,5,72,510
a group of beginner snow skiers having class,8,612,612,0,3,966,3871
Several cross country skiers traveling through the snow.,8,684,684,0,5,13,113
There are a bunch of people cross-country skiing.,8,900,900,0,8,2390,6126
Several people are skiing on a snow covered field.,9,900,900,0,5,2,7
people going along a hill on skiis during a race ,10,972,900,0,5,0,15
A man riding skis down a snow covered slope.,9,828,756,0,5,2,12
A person skiing down a mountain in the snow.,9,828,756,0,5,32,96
a big hill that has a bunch of snow on it,11,900,828,0,4,1194,4145
a man skiing down a hill by himself ,8,756,684,0,5,1,20
The man is skiing down the snowy slopes.,8,756,684,0,5,1,26
A couple of people riding a pair of skis down a snow covered slope.,14,1188,936,0,5,83,298
a couple of people skiing down a snowy slope,9,756,684,0,5,55,189
THERE ARE PEOPLE THAT ARE ON THE SNOW SLOPE SKIING,10,828,828,0,4,1171,4911
two snow skiers are coming down a hill,8,756,756,0,5,125,458
The cross country skiers are enjoying their run.,8,684,684,0,4,149,489
A man on a skateboard is coming up a ramp.,10,900,756,0,5,16,55
A boy skateboards in a skate park pike. ,8,684,612,0,5,21,147
A man riding a skateboard up the side of a ramp.,11,900,756,0,5,21,126
A boy on a skateboard at the skate park.,9,684,612,0,3,13,90
A skate board rider skating on the edge of a ramp.,11,900,828,0,5,22,72
A man wearing glasses eating a hot dog.,8,612,540,0,3,1,0
A man eats a hot dog while looking at the camera.,11,972,900,0,6,21,26
 A young man with glasses eating a hot dog with bun.,11,828,648,0,3,1,40
A man with thick black glasses eats a hotdog.,9,684,612,0,3,2,9
A man who is putting a hot dog in his mouth.,11,972,900,0,4,49,366
A sandwich on top of a metal tray next to a bowl of dipping sauce.,15,1116,864,0,3,4,3
The sandwich dominates the plate and comes with soup.,9,900,828,0,6,41,371
Some food sitting on top of a table.,8,684,684,0,5,243,510
A grilled sandwich with cheese served on a tray,9,756,684,0,5,4,26
a big sandwich on a small silver plate with a bowl of broth on the side,16,1188,936,0,3,18,62
A boy is eating donut holes while sitting at a dinner table. ,12,1188,1116,0,6,2,20
Small certain was child eating donuts off a blue plate. ,10,828,828,0,5,2587,9668
A little boy smiling for a picture as he eats.,10,828,756,0,5,15,77
 A boy smiling and eating some food on a plate.,10,900,828,0,6,5,30
Young child looking enthused over some dessert on table,9,756,756,0,4,3181,12916
A group of women standing around a cake cutting slices.,10,828,756,0,5,6,9
Women and children are gathered around a blue cake.,9,828,828,0,5,0,13
People outside at table eating cake on plates.,8,612,612,0,3,16,36
A group of people sit at a table with cake.,10,900,828,0,5,29,80
many people standing near a table with cake,8,684,684,0,5,34,120
A waffle with cream and strawberries sits on a plate. ,10,828,756,0,5,98,121
a two tier cake with some frosting and strawberries in the middle ,12,900,900,0,3,5,40
The sandwich cookie has fruit in the middle of it. ,10,828,756,0,5,290,618
"A patty, with frosting on it, in the middle.",9,684,684,0,3,1237,5201
A plate that has cake on top of it.,9,828,828,0,5,354,697
A man and woman cutting a slice of cake by trees.,11,900,828,0,5,0,9
A couple of people standing cutting a cake.,8,684,612,0,5,134,247
The dork with the earring stands next to the Asian beauty who is way out of his league.,18,1476,1332,0,5,3780,16896
A newly married couple cutting a cake in a park.,10,900,756,0,5,3,2
A bride and groom are cutting a cake as they smile.,11,972,900,0,5,8,11
A woman on a boogie board riding a wave.,9,684,540,0,3,54,37
Woman surfing small wave using a body board.,8,684,684,0,5,48,143
a white woman with a blue surf board ,8,612,540,0,3,44,100
A women is laying on a board surfing a small wave.,11,1044,900,0,5,472,944
A person on a boogie board in the water. ,9,684,612,0,3,171,319
A man on a blue raft attempting to catch a ride on a large wave.,15,1260,936,0,4,62,367
The boy is looking back at a wave in the ocean. ,11,972,900,0,4,606,2327
A young man is body surfing and paddling in the water.,11,1188,1188,0,6,18,207
A man in a black shirt plays on an ocean wave.,11,828,756,0,3,26,670
A boy riding a boogie board in the ocean waves.,10,828,756,0,5,39,463
A man holding a surfboard walking on a beach next to the ocean.,13,1044,900,0,5,1,44
A surfer walking on a beach holding a surfboard.,9,756,612,0,5,8,101
A man walking on the beach carrying a surfboard.,9,756,684,0,5,1,1
A lone surfer carries his board next to the shore.,10,828,828,0,5,4,33
A person walking along the beach with a surfboard.,9,828,756,0,5,26,126
A spacious living room with three windows and a wooden floor.,11,828,756,0,3,2,49
A living room filled with furniture and wood flooring.,9,684,684,0,3,3,24
A living room with wooden floors and white walls.,9,684,684,0,3,4,6
a black couch a green chair a red chair a mirror and a ceiling fan,15,1116,792,0,3,103,246
A living room has some chairs and a ceiling fan.,10,756,684,0,3,0,0
A woman sitting at a table topped with pizza.,9,756,684,0,5,886,3471
A close-up of a table with three boxes of pizza.,10,756,684,0,3,130,482
An elderly woman seated at a table holding three pizzas.,10,828,828,0,5,1749,5602
A grandmother looks at her family's pizza dinner,8,612,612,0,3,389,1492
Pizza and empty glasses on the dinner table.,8,612,612,0,3,36,9
A woman sitting in front of a giant pizza.,9,756,684,0,5,2,17
The girl with glasses is eating a slice of pizza.,10,828,828,0,4,2,14
a very large pizza that is on some kind of pizza pan,12,1044,1044,0,4,651,3530
a woman in a black jacket and a pizza ,9,684,540,0,3,74,165
A pizza with a slice missing is sitting on a pizza stand.,12,1044,900,0,5,724,4404
A plate of cheese bread next to bread sticks and wine.,11,828,828,0,3,40,68
there are two plates of food and a beer in the middle of the table,15,1188,1008,0,5,165,754
Two plates both have food next to a bottle of Wine. ,11,900,900,0,4,53,307
Some cinnamon toast and eggs that are half eaten on a table.,12,1188,1188,0,5,686,2314
A table with plates of food and a bottle of alcohol.,11,828,648,0,3,48,374
A hotel suite with balcony overlooking the scenery ,8,612,612,0,3,16,208
A large living area with a bed and some couches,10,756,684,0,3,76,130
There is a living room with a wide open view,10,828,756,0,4,5,404
A living room with white furniture and a small wooden table.,11,828,756,0,3,86,253
A bedroom suite with balcony and  lovely view,8,612,612,0,3,5,71
A young girl in the foreground and a woman in a bridal dress and other adults in the background. ,19,1404,972,0,3,298,1735
A young girl holding a controller playing a video game.,10,756,612,0,3,95,788
A young girl playing a video game while others talk.,10,828,756,0,5,30,245
A little girl holding a white Nintendo Wii game controller.,10,756,684,0,3,82,453
A blurry photo of a girl concentrating next to what seems like party goers.,14,1188,1116,0,5,554,2540
"A room with a couch, table set with dinnerware and a television. ",12,900,756,0,3,137,584
A comfortable hotel room featuring a big screen television.,9,684,612,0,3,2,8
a small room with living room and dining room stuff,10,756,684,0,3,69,87
A nicely decorated living room and dining area.,8,684,684,0,4,437,1702
An entertainment room set up with a table for two for coffee,12,1044,936,0,5,302,921
A man lies on the beach while someone else holds a kite.,12,1044,972,0,5,31,197
A man lying on a beach by a person with a kite.,12,1044,828,0,5,5,72
A person with their legs in the sand near a kite,11,828,756,0,3,31,217
A man laying on top of a sandy beach.,9,756,684,0,5,1,33
A man in shorts is laying on the beach.,9,828,828,0,5,2,16
Many people standing in a field flying kites.,8,684,684,0,5,10,10
People fill a park area under a cloudy sky while kites pepper the sky.,14,1188,1080,0,5,193,301
Many people flying kits under a party cloudy sky.,9,756,756,0,5,20,33
A group of people standing on a field under a cloudy blue sky.,13,1116,972,0,5,240,433
A group of people in a field with various kites in the sky.,13,972,792,0,3,185,366
Some people in a grass field flying a kite in the sky.,12,972,900,0,5,16,7
A boy playing with a kite in the park.,9,828,756,0,5,219,820
